gender,age,address,famsize,Pstatus,M_edu,F_edu,M_job,F_job,relationship_breakdown,smoker,avarage_tution_fee_cost,time_spent_with_friends,ssc_result,hsc_result
M,24,U,LE3,T ,3,4,at_home ,other ,No ,Yes ,800000,1,4.25,4.01
F,22,R,LE3,T ,3,2,other ,services ,No ,Yes ,600000,1,4.51,4.41
F,24,R,GT3,A ,4,4,at_home ,teacher ,Yes ,Yes ,550000,1,4.54,4.15
F,23,R,LE3,T ,2,2,at_home ,services ,Yes ,Yes ,450000,1,4.48,4.05
M,22,U,LE3,T ,4,2,teacher ,other ,No ,No ,800000,4,4.66,4.06
F,24,U,GT3,T ,3,3,at_home ,health ,Yes ,Yes ,400000,1,4.1,4.83
M,24,U,GT3,T ,4,3,other ,other ,Yes ,No ,300000,1,4.91,4.39
F,20,R,GT3,T ,4,3,at_home ,teacher ,No ,Yes ,800000,1,4.8,4.1
F,23,R,LE3,T ,3,3,health ,other ,Yes ,No ,850000,1,4.97,4.08
F,22,R,GT3,T ,4,3,other ,other ,No ,No ,700000,2,4.87,4.23
F,21,U,LE3,T ,4,4,at_home ,health ,Yes ,Yes ,100000,1,4.71,4.23
M,23,R,LE3,T ,2,3,teacher ,teacher ,No ,No ,600000,1,4.53,4.47
M,21,R,GT3,T ,2,2,at_home ,health ,Yes ,No ,400000,1,4.85,4.46
M,23,U,GT3,T ,3,4,teacher ,health ,No ,Yes ,850000,5,4.68,4.06
F,22,U,GT3,T ,2,2,services ,health ,Yes ,No ,550000,2,4.96,4.69
F,24,U,LE3,T ,3,4,teacher ,services ,No ,No ,700000,1,4.18,4.56
M,24,U,LE3,T ,3,4,services ,services ,No ,Yes ,300000,1,4.71,4.59
F,24,R,GT3,T ,3,2,at_home ,other ,Yes ,Yes ,700000,1,3.93,4.12
M,23,R,GT3,T ,4,3,at_home ,services ,No ,No ,400000,3,4.91,4.71
F,21,U,LE3,T ,3,4,at_home ,health ,Yes ,Yes ,850000,1,4.64,4.77
F,24,R,GT3,T ,3,2,other ,services ,No ,Yes ,100000,1,4.25,4.62
M,23,R,GT3,T ,3,4,health ,other ,No ,Yes ,850000,2,4.46,4.35
M,21,U,GT3,T ,4,4,at_home ,teacher ,No ,No ,450000,1,4.42,4.32
F,20,R,LE3,T ,3,2,services ,health ,No ,No ,800000,2,4.68,4.78
F,21,U,GT3,T ,3,4,at_home ,other ,Yes ,No ,850000,1,4.41,4.18
M,23,U,GT3,T ,3,2,at_home ,health ,Yes ,Yes ,550000,1,4.31,4.56
F,21,R,LE3,T ,4,3,at_home ,teacher ,Yes ,No ,300000,1,4.6,4.47
M,23,R,LE3,T ,2,4,at_home ,teacher ,No ,Yes ,500000,4,4.09,4.25
F,20,U,LE3,T ,3,4,at_home ,teacher ,Yes ,No ,450000,1,4.65,4.19
F,24,R,GT3,T ,4,4,health ,other ,Yes ,No ,250000,1,4.12,4.84
M,22,R,GT3,T ,4,3,health ,teacher ,No ,Yes ,50000,2,4.81,4.65
M,21,U,GT3,T ,3,3,at_home ,health ,No ,Yes ,600000,1,4.18,4.06
F,20,R,LE3,T ,4,2,teacher ,other ,Yes ,No ,600000,2,4.21,4.06
M,24,R,GT3,T ,4,3,at_home ,services ,No ,Yes ,400000,1,4.95,4.21
F,22,R,LE3,A ,2,3,at_home ,services ,No ,No ,600000,3,4.7,4.84
F,24,R,LE3,T ,3,3,at_home ,health ,No ,Yes ,50000,1,4.47,4.79
M,21,R,GT3,T ,2,4,services ,other ,No ,Yes ,200000,1,4.07,4.53
M,23,R,GT3,T ,2,2,teacher ,health ,Yes ,Yes ,400000,1,4.46,4.22
M,21,U,LE3,T ,2,3,other ,services ,No ,Yes ,100000,3,4.03,4
F,21,U,GT3,T ,3,3,services ,teacher ,Yes ,No ,850000,2,4.49,3.96
F,22,R,GT3,T ,2,2,at_home ,health ,Yes ,No ,550000,1,4.64,4.45
M,24,R,GT3,T ,4,3,at_home ,other ,No ,Yes ,50000,4,4.12,4.68
F,23,U,GT3,T ,2,2,at_home ,health ,Yes ,Yes ,100000,2,4.88,4.65
F,24,R,GT3,T ,2,4,at_home ,health ,No ,Yes ,250000,1,3.95,4.59
M,20,R,GT3,T ,4,2,services ,services ,Yes ,Yes ,100000,1,4.32,4
F,21,U,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,500000,2,4.17,4.16
F,20,U,GT3,T ,2,3,at_home ,services ,Yes ,No ,600000,1,4.33,4.75
M,23,U,LE3,T ,3,3,at_home ,other ,Yes ,Yes ,800000,2,4.8,4.47
F,23,R,GT3,T ,3,3,other ,services ,Yes ,Yes ,400000,5,4.67,4.09
F,22,R,GT3,T ,2,4,at_home ,teacher ,Yes ,No ,450000,2,4.79,4.59
M,23,U,LE3,T ,3,2,at_home ,health ,No ,Yes ,100000,1,4.75,4.3
M,20,R,LE3,T ,4,2,at_home ,health ,No ,Yes ,600000,2,4.21,4.78
F,20,R,GT3,T ,2,3,services ,health ,Yes ,Yes ,200000,2,4.17,4.18
F,22,U,GT3,T ,3,2,at_home ,other ,No ,Yes ,500000,1,4.32,4.23
F,20,U,GT3,T ,3,4,services ,services ,No ,No ,500000,2,4.89,4.48
M,20,U,GT3,T ,4,3,at_home ,at_home ,No ,Yes ,850000,1,4.12,4.9
F,23,U,LE3,T ,4,2,at_home ,other ,Yes ,No ,250000,1,3.96,4.13
F,23,R,GT3,T ,2,4,at_home ,teacher ,No ,Yes ,700000,1,4.75,4.84
M,22,U,GT3,T ,3,3,services ,services ,No ,No ,450000,1,4.33,4.65
M,24,R,GT3,T ,3,4,at_home ,services ,Yes ,No ,100000,2,3.98,4.9
F,23,R,GT3,T ,4,2,other ,teacher ,Yes ,No ,100000,1,4.71,4.07
M,23,U,LE3,T ,2,3,services ,health ,Yes ,No ,200000,2,4.63,4.59
M,22,U,GT3,T ,4,4,services ,health ,Yes ,Yes ,850000,1,4.9,3.99
M,20,R,GT3,T ,4,4,teacher ,services ,No ,Yes ,300000,2,3.93,4.73
F,24,R,GT3,A ,3,3,at_home ,health ,Yes ,Yes ,250000,1,4.59,4.28
M,21,R,GT3,T ,3,2,at_home ,other ,Yes ,No ,250000,1,4.94,4.82
F,22,U,GT3,T ,2,4,other ,services ,Yes ,No ,550000,3,4.61,4.44
F,23,U,LE3,T ,3,3,other ,other ,Yes ,No ,400000,5,4.6,4.17
F,21,U,GT3,T ,4,4,at_home ,health ,No ,No ,300000,1,4.54,4.34
F,24,U,GT3,T ,2,2,at_home ,other ,No ,Yes ,250000,1,4.74,4.07
F,20,U,GT3,T ,2,2,teacher ,teacher ,No ,No ,200000,1,4.64,4.27
F,23,U,LE3,T ,2,4,at_home ,health ,Yes ,No ,250000,1,4.02,4.75
M,23,U,LE3,T ,4,2,services ,teacher ,No ,Yes ,400000,2,4.11,4.33
F,24,U,GT3,T ,4,4,other ,teacher ,Yes ,No ,550000,1,4.77,4.24
F,22,U,GT3,T ,3,3,at_home ,health ,Yes ,No ,800000,1,4.38,4.54
F,23,U,GT3,T ,4,2,teacher ,services ,Yes ,Yes ,200000,3,4.93,4.21
F,21,U,GT3,T ,3,4,at_home ,other ,Yes ,Yes ,550000,1,4.46,4.63
M,24,U,GT3,T ,2,4,other ,services ,Yes ,Yes ,850000,3,4.58,4.3
F,23,U,GT3,T ,4,2,health ,services ,No ,Yes ,50000,1,4.94,4.4
F,21,U,GT3,T ,2,3,services ,other ,Yes ,Yes ,300000,1,4.55,4.6
M,20,U,GT3,T ,4,2,at_home ,other ,Yes ,Yes ,700000,1,4.65,4.47
M,21,U,GT3,T ,3,3,health ,other ,Yes ,No ,50000,1,4.7,4.82
F,20,U,LE3,T ,4,3,at_home ,other ,Yes ,No ,200000,5,4.11,4.17
M,23,R,GT3,T ,2,4,teacher ,other ,No ,Yes ,550000,1,4.15,4.05
M,20,U,GT3,T ,3,3,at_home ,other ,No ,No ,50000,2,4.98,4.17
F,24,U,GT3,T ,4,4,teacher ,health ,No ,Yes ,200000,2,4.42,4.82
F,20,U,GT3,T ,2,3,at_home ,health ,No ,No ,50000,1,4.94,4.04
M,21,R,GT3,T ,4,2,other ,health ,Yes ,No ,700000,1,4.87,4.24
M,24,R,LE3,T ,4,2,at_home ,teacher ,Yes ,Yes ,450000,1,4.53,4.69
M,21,U,GT3,T ,2,4,at_home ,other ,Yes ,No ,300000,1,4.28,4.07
F,20,U,LE3,T ,4,4,services ,services ,Yes ,No ,700000,2,4.26,4.83
F,21,R,GT3,T ,4,4,at_home ,health ,No ,Yes ,450000,1,4.52,4.26
M,23,U,LE3,T ,2,2,at_home ,other ,Yes ,No ,200000,1,3.98,4.42
F,24,U,GT3,T ,2,3,services ,health ,No ,Yes ,50000,1,4.17,4.38
F,23,R,GT3,T ,3,4,teacher ,teacher ,Yes ,No ,450000,1,4.32,4.54
M,20,U,GT3,T ,4,3,at_home ,services ,Yes ,No ,200000,1,4.61,4.56
M,23,R,GT3,T ,4,2,at_home ,teacher ,No ,No ,600000,3,4.01,4.57
M,23,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,100000,2,4.21,4.83
M,20,U,GT3,T ,4,4,at_home ,other ,Yes ,Yes ,600000,1,4.43,4.37
F,23,R,LE3,T ,3,3,at_home ,services ,Yes ,No ,850000,3,4,4.57
M,23,R,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,600000,2,3.93,4.36
M,24,R,LE3,T ,2,3,teacher ,services ,No ,Yes ,800000,4,4.34,4.77
M,21,R,LE3,T ,2,2,services ,teacher ,No ,No ,400000,2,4.32,4.28
M,24,R,GT3,T ,3,4,health ,teacher ,No ,No ,200000,1,4.62,4.75
M,21,U,GT3,T ,2,2,at_home ,services ,No ,No ,50000,1,4.7,4.06
M,24,U,GT3,T ,3,4,health ,health ,Yes ,Yes ,400000,1,3.93,4.57
F,22,U,GT3,T ,4,3,at_home ,health ,No ,No ,600000,1,4.94,4.71
F,24,U,GT3,T ,3,2,at_home ,other ,No ,Yes ,100000,1,4.02,4.02
M,23,U,GT3,T ,3,3,at_home ,teacher ,No ,No ,600000,3,3.96,4.61
M,21,R,GT3,T ,4,4,other ,teacher ,Yes ,Yes ,450000,2,3.97,4.65
M,21,U,LE3,T ,4,3,health ,other ,No ,Yes ,700000,1,4.64,4.26
F,20,R,GT3,T ,4,3,at_home ,other ,Yes ,No ,250000,1,4.86,4.48
M,20,U,LE3,T ,4,3,at_home ,other ,No ,No ,700000,1,4.62,4.63
F,24,U,GT3,T ,2,3,at_home ,teacher ,Yes ,No ,850000,1,3.93,4.03
F,24,U,LE3,T ,3,2,services ,teacher ,Yes ,No ,700000,4,4.89,4.31
M,23,U,GT3,T ,4,4,health ,services ,No ,Yes ,300000,1,4.11,4.1
F,22,R,LE3,T ,4,3,health ,services ,No ,No ,850000,1,4.96,4.24
F,24,U,GT3,T ,3,3,services ,other ,Yes ,Yes ,200000,2,4.08,4.33
M,23,U,GT3,T ,4,3,at_home ,health ,Yes ,Yes ,850000,1,4.72,4.19
M,21,U,LE3,T ,2,4,at_home ,health ,Yes ,No ,500000,3,4.66,4.26
F,21,U,LE3,T ,3,4,at_home ,health ,No ,Yes ,300000,1,4.96,4.32
M,22,U,LE3,T ,4,3,at_home ,health ,Yes ,No ,100000,1,4.61,4.33
M,22,R,GT3,T ,3,4,teacher ,other ,Yes ,Yes ,400000,1,4.44,4.22
M,24,U,GT3,T ,2,2,services ,other ,Yes ,No ,850000,3,4.7,4.46
M,21,U,LE3,T ,2,2,other ,teacher ,No ,No ,250000,1,4.97,4.89
F,22,R,GT3,T ,2,4,teacher ,teacher ,No ,No ,300000,2,4.85,4.03
F,21,R,GT3,T ,3,4,at_home ,other ,No ,Yes ,550000,1,4.67,4.25
F,23,R,GT3,T ,3,2,teacher ,health ,No ,Yes ,600000,1,4.77,4.3
F,24,U,GT3,T ,2,2,at_home ,health ,Yes ,No ,550000,1,4.21,3.96
M,23,R,GT3,T ,2,2,at_home ,services ,No ,Yes ,800000,1,4.41,4.21
M,20,R,GT3,T ,4,4,at_home ,other ,No ,Yes ,850000,1,4.5,4.72
M,23,R,GT3,A ,2,4,other ,health ,No ,No ,200000,1,4.09,4.53
F,20,U,GT3,T ,4,3,other ,health ,No ,Yes ,400000,1,4.57,4.34
M,24,R,GT3,T ,4,4,at_home ,health ,Yes ,No ,450000,3,4.28,4.61
M,23,R,LE3,T ,4,4,other ,other ,Yes ,Yes ,850000,5,4.32,4.62
F,20,U,LE3,T ,3,4,at_home ,teacher ,No ,Yes ,50000,1,4.81,4.6
M,22,U,GT3,T ,3,4,health ,services ,Yes ,Yes ,850000,1,4.59,4.56
F,21,U,GT3,T ,2,3,teacher ,health ,Yes ,Yes ,400000,1,4.88,4.85
M,20,U,GT3,T ,3,3,at_home ,other ,No ,No ,850000,3,4.85,4.7
M,23,U,GT3,T ,3,2,other ,services ,Yes ,No ,800000,1,4.4,4.6
M,20,U,LE3,T ,2,3,teacher ,services ,No ,Yes ,450000,4,4.88,4.27
M,24,U,GT3,T ,3,4,services ,services ,No ,Yes ,300000,1,4.17,4.74
M,24,R,GT3,T ,4,2,at_home ,health ,No ,Yes ,200000,2,4.05,4.48
F,24,U,GT3,T ,3,3,teacher ,other ,Yes ,Yes ,500000,1,4.35,4.2
M,22,U,GT3,A ,3,4,teacher ,health ,Yes ,Yes ,800000,1,4.89,4.63
F,21,U,GT3,T ,2,3,at_home ,other ,No ,Yes ,50000,2,4.02,3.94
F,23,U,GT3,T ,3,3,services ,teacher ,No ,Yes ,450000,2,4.9,4.41
F,23,U,LE3,T ,4,2,at_home ,other ,No ,Yes ,100000,1,4.17,4.4
M,21,R,LE3,T ,2,2,at_home ,services ,No ,Yes ,700000,3,4.45,4.59
F,24,U,GT3,T ,2,3,other ,services ,Yes ,No ,300000,4,4.46,4.59
F,23,R,GT3,T ,4,2,at_home ,other ,Yes ,No ,600000,1,4.99,4.21
F,21,U,GT3,T ,2,3,at_home ,teacher ,No ,Yes ,600000,1,4.48,3.99
F,21,R,GT3,T ,2,4,teacher ,teacher ,No ,No ,500000,1,4.61,4.78
F,21,R,GT3,T ,2,4,at_home ,other ,No ,No ,500000,1,4.6,4.35
M,21,R,GT3,T ,2,2,teacher ,services ,Yes ,No ,850000,1,4.31,4.38
M,24,U,GT3,T ,2,4,at_home ,teacher ,Yes ,Yes ,550000,2,4.02,4.87
M,20,U,GT3,T ,4,2,at_home ,services ,No ,No ,250000,1,4.29,4.65
F,21,R,GT3,T ,3,2,services ,other ,No ,No ,550000,1,4.9,4.7
F,24,U,LE3,T ,4,4,at_home ,other ,Yes ,No ,250000,2,3.92,4.23
F,22,U,GT3,T ,2,2,health ,teacher ,Yes ,Yes ,550000,1,4.08,3.98
M,20,U,GT3,T ,2,2,services ,other ,No ,No ,800000,2,4.94,4.64
M,22,R,LE3,T ,4,3,at_home ,services ,Yes ,Yes ,700000,1,4.41,3.97
M,21,U,LE3,T ,4,2,teacher ,other ,Yes ,No ,500000,2,4.42,4.77
M,21,R,GT3,T ,2,4,services ,health ,No ,Yes ,400000,1,4.78,4.19
F,24,U,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,700000,1,4.13,4.73
F,22,R,GT3,T ,4,4,at_home ,teacher ,Yes ,Yes ,600000,1,4.13,4.76
F,21,U,GT3,T ,3,3,health ,teacher ,No ,Yes ,400000,1,4.3,4.74
F,24,U,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,450000,1,4.25,4.57
M,24,U,LE3,T ,4,3,at_home ,other ,No ,No ,700000,2,4.69,4.24
F,20,R,GT3,T ,3,3,at_home ,services ,No ,Yes ,450000,1,4.53,4.15
M,24,U,LE3,T ,3,4,teacher ,health ,Yes ,Yes ,550000,1,4.85,4.87
M,21,U,LE3,T ,2,3,other ,teacher ,Yes ,Yes ,100000,1,4.84,4.17
F,23,R,LE3,T ,4,2,services ,services ,No ,Yes ,800000,2,4.08,4.55
M,23,U,GT3,T ,3,2,services ,health ,No ,Yes ,300000,2,4.02,4.61
M,21,U,LE3,T ,3,4,at_home ,health ,No ,Yes ,800000,3,4.58,4.49
M,22,R,GT3,T ,3,3,health ,teacher ,No ,No ,550000,4,4.52,3.99
M,21,U,LE3,T ,2,3,at_home ,services ,Yes ,Yes ,250000,1,4.38,4.85
M,22,R,GT3,T ,2,3,at_home ,other ,Yes ,No ,100000,1,4.21,4
F,20,U,GT3,T ,3,4,at_home ,services ,No ,Yes ,200000,1,4.43,4.6
F,23,U,LE3,T ,2,2,other ,health ,Yes ,Yes ,500000,2,4.71,4.22
F,22,U,LE3,T ,2,4,at_home ,services ,No ,No ,50000,1,4.58,4
M,20,R,GT3,T ,2,2,at_home ,other ,No ,Yes ,300000,3,4.05,4.4
F,24,R,GT3,A ,3,4,at_home ,services ,Yes ,No ,100000,1,4.77,4.84
M,24,R,GT3,T ,3,4,health ,services ,No ,Yes ,850000,1,4.82,4.63
F,22,R,GT3,T ,3,3,health ,teacher ,Yes ,No ,450000,1,4.62,4.44
F,24,R,GT3,T ,4,4,teacher ,health ,Yes ,Yes ,200000,2,4.46,4.88
F,20,R,GT3,T ,4,3,at_home ,teacher ,No ,No ,300000,2,4.83,3.96
F,20,U,GT3,T ,4,2,teacher ,health ,Yes ,Yes ,500000,1,4.75,4.74
F,24,U,GT3,T ,3,3,health ,services ,Yes ,No ,450000,2,4.75,4.6
F,24,U,LE3,T ,4,4,teacher ,teacher ,Yes ,No ,100000,1,4.44,4.86
F,24,R,GT3,T ,3,4,at_home ,other ,Yes ,Yes ,450000,1,4.94,4.33
M,22,U,GT3,T ,2,2,at_home ,health ,Yes ,Yes ,600000,1,4.59,4.21
M,20,R,LE3,T ,4,2,at_home ,teacher ,No ,No ,100000,2,4.07,4.08
F,24,U,GT3,T ,2,2,at_home ,services ,No ,Yes ,100000,1,4.92,4.25
M,20,U,GT3,T ,4,3,health ,services ,Yes ,No ,850000,1,3.96,4.81
M,21,U,GT3,T ,2,4,at_home ,other ,Yes ,Yes ,300000,2,4.6,4.29
F,24,U,GT3,T ,3,4,at_home ,services ,No ,No ,800000,5,4.88,4.72
M,23,U,GT3,T ,2,2,at_home ,teacher ,Yes ,Yes ,100000,1,4.94,4.74
F,23,U,LE3,T ,4,2,at_home ,teacher ,No ,Yes ,550000,2,4.44,4.81
F,23,R,GT3,A ,3,4,services ,health ,Yes ,No ,600000,1,3.95,4.83
F,20,R,GT3,T ,4,4,health ,teacher ,Yes ,Yes ,100000,2,4.12,4.03
F,24,R,LE3,T ,2,2,teacher ,teacher ,Yes ,Yes ,100000,1,4.77,4.53
F,23,U,LE3,T ,2,3,at_home ,services ,No ,No ,800000,1,4.39,4.37
M,24,U,LE3,T ,4,2,at_home ,services ,No ,No ,200000,3,4.07,4.58
M,23,R,GT3,T ,3,4,teacher ,other ,No ,No ,550000,1,4.89,4.19
F,22,R,GT3,T ,4,4,services ,services ,Yes ,Yes ,850000,2,4.05,4.23
M,23,U,GT3,T ,2,2,services ,teacher ,Yes ,No ,400000,1,4.01,4.08
F,22,U,GT3,T ,2,3,teacher ,teacher ,Yes ,No ,400000,2,4.5,4.69
F,21,U,GT3,T ,4,4,at_home ,health ,Yes ,No ,300000,1,4.94,4.01
M,20,R,GT3,T ,4,4,services ,teacher ,Yes ,No ,800000,2,4.55,4.84
F,20,U,GT3,T ,4,3,other ,teacher ,No ,Yes ,100000,1,4.59,4.28
F,24,U,GT3,T ,3,2,health ,other ,Yes ,No ,550000,1,4.65,4.61
M,24,R,GT3,T ,3,4,at_home ,health ,No ,No ,500000,1,4.39,4.51
F,21,U,LE3,T ,3,2,teacher ,teacher ,Yes ,Yes ,450000,1,4.51,4.61
F,23,R,LE3,T ,4,3,other ,other ,Yes ,Yes ,800000,4,4.73,4.81
M,24,R,GT3,T ,3,3,services ,teacher ,Yes ,No ,400000,5,4.22,4.87
M,22,R,GT3,T ,2,4,health ,other ,Yes ,No ,300000,5,4.8,4.49
M,24,R,GT3,T ,3,3,services ,health ,No ,Yes ,100000,1,4.28,4.25
M,24,U,GT3,T ,2,3,teacher ,other ,No ,Yes ,600000,1,4.78,4.46
M,20,R,GT3,T ,2,3,at_home ,health ,Yes ,No ,400000,1,4.76,4.87
M,24,U,GT3,T ,3,2,services ,health ,Yes ,No ,800000,3,4.29,4.03
M,24,R,LE3,T ,3,2,services ,teacher ,Yes ,Yes ,50000,1,4.41,4.74
M,23,R,GT3,T ,4,4,at_home ,other ,Yes ,No ,400000,1,4.02,4.07
M,21,R,GT3,T ,4,3,services ,services ,Yes ,Yes ,850000,1,4.06,4.31
F,21,R,GT3,T ,3,4,services ,health ,No ,No ,800000,4,4.35,4.02
M,20,R,GT3,T ,2,2,teacher ,services ,Yes ,Yes ,600000,2,4.03,4.16
M,20,U,LE3,T ,4,2,services ,services ,Yes ,No ,50000,1,4.23,4.05
M,23,R,GT3,T ,3,4,at_home ,other ,Yes ,No ,700000,5,4.75,4.88
M,21,R,GT3,T ,4,3,at_home ,other ,Yes ,Yes ,200000,2,4.13,4.01
F,20,R,GT3,T ,4,4,at_home ,other ,Yes ,No ,550000,4,4.51,4.46
F,22,U,LE3,A ,3,3,other ,other ,No ,No ,200000,2,4.91,4.49
F,24,R,GT3,A ,3,4,at_home ,services ,No ,Yes ,50000,1,4.27,4.56
F,23,U,LE3,T ,3,2,at_home ,health ,Yes ,No ,400000,5,4.47,4.75
F,24,U,GT3,T ,3,2,services ,teacher ,Yes ,Yes ,600000,2,4.82,4.15
M,24,U,GT3,T ,2,4,health ,services ,No ,Yes ,50000,1,4.45,4.56
M,23,R,GT3,T ,2,4,health ,other ,No ,Yes ,550000,2,4.91,4.09
M,24,R,LE3,T ,3,3,other ,other ,Yes ,No ,550000,1,4.79,4.06
F,23,R,GT3,T ,3,3,at_home ,services ,Yes ,No ,100000,2,4.07,4.64
M,21,R,GT3,T ,4,2,health ,teacher ,Yes ,No ,850000,1,4.1,4.4
M,23,R,LE3,T ,2,4,other ,services ,Yes ,No ,100000,1,4.25,4.5
M,21,U,LE3,T ,4,3,health ,health ,Yes ,No ,600000,3,4.46,4.8
F,22,R,LE3,T ,4,4,health ,services ,Yes ,Yes ,800000,1,4.82,4.31
F,24,R,GT3,T ,4,2,at_home ,health ,Yes ,Yes ,700000,1,4.63,4.5
F,21,U,LE3,T ,2,2,at_home ,other ,No ,Yes ,250000,1,3.93,4.39
M,24,U,GT3,T ,3,3,other ,teacher ,Yes ,Yes ,100000,2,4.2,4.44
M,22,R,GT3,T ,3,3,other ,health ,Yes ,Yes ,50000,1,4.78,4.11
F,21,R,LE3,T ,2,4,at_home ,health ,Yes ,No ,500000,1,4.06,4.54
F,20,R,GT3,T ,3,3,at_home ,teacher ,Yes ,Yes ,700000,2,4.12,4.69
F,21,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,300000,3,4.67,4.17
M,23,U,LE3,T ,3,3,teacher ,teacher ,No ,Yes ,300000,1,4.32,4.32
F,24,R,GT3,T ,3,2,other ,health ,Yes ,Yes ,100000,1,4.59,4.23
F,23,R,GT3,T ,4,3,other ,other ,Yes ,No ,200000,3,4.08,4.64
F,20,U,LE3,T ,4,2,health ,teacher ,Yes ,Yes ,450000,1,4.68,4.13
F,23,U,GT3,T ,2,3,at_home ,services ,No ,Yes ,100000,2,4.93,4.08
M,23,R,GT3,T ,2,2,at_home ,health ,Yes ,Yes ,700000,4,4.05,4.22
M,20,R,GT3,T ,2,4,at_home ,services ,Yes ,No ,850000,2,4.55,4.72
M,24,R,LE3,T ,4,3,at_home ,other ,Yes ,Yes ,850000,2,5,4.2
F,22,R,GT3,T ,4,4,at_home ,services ,Yes ,Yes ,200000,1,4.72,4.85
M,21,R,GT3,T ,2,4,at_home ,services ,Yes ,Yes ,250000,1,4.02,4.73
F,20,R,GT3,T ,4,3,teacher ,other ,Yes ,Yes ,200000,3,4.11,4.73
F,21,R,GT3,T ,2,2,teacher ,teacher ,No ,Yes ,100000,5,4.96,4.09
M,23,R,GT3,T ,3,4,at_home ,health ,Yes ,Yes ,200000,3,4.04,4.77
F,23,U,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,850000,3,3.93,4.19
F,20,U,GT3,A ,2,4,teacher ,other ,Yes ,No ,700000,2,4.51,4.08
F,24,R,GT3,T ,4,3,health ,teacher ,No ,Yes ,100000,2,4.74,4.86
F,22,U,GT3,T ,2,2,other ,services ,No ,Yes ,200000,1,4.27,4.51
M,24,U,GT3,T ,2,3,teacher ,teacher ,Yes ,No ,300000,1,4.78,4.83
M,24,R,LE3,T ,2,3,at_home ,services ,Yes ,Yes ,550000,5,4.99,4.72
F,21,U,GT3,T ,2,3,at_home ,teacher ,No ,No ,800000,1,4.58,4.23
F,24,U,GT3,T ,4,3,at_home ,services ,No ,Yes ,500000,1,4.54,4.13
M,22,U,GT3,T ,4,3,other ,teacher ,No ,Yes ,500000,1,4.6,4.13
F,20,R,GT3,T ,3,3,teacher ,services ,No ,Yes ,50000,1,4.93,4.83
M,22,U,GT3,T ,4,4,at_home ,health ,No ,Yes ,500000,1,4.32,4.17
M,21,U,LE3,T ,2,4,at_home ,services ,Yes ,No ,500000,1,4.75,3.96
F,20,R,GT3,A ,4,3,at_home ,teacher ,No ,Yes ,600000,1,4.42,4.7
M,21,R,LE3,T ,4,4,health ,health ,Yes ,No ,300000,1,4.25,4.53
F,24,R,GT3,T ,2,3,at_home ,other ,No ,No ,800000,1,3.98,4.87
F,20,R,LE3,T ,2,4,at_home ,services ,Yes ,No ,300000,5,4.74,4.48
F,22,U,LE3,T ,2,3,at_home ,teacher ,Yes ,Yes ,300000,1,4.38,4.41
F,20,U,LE3,T ,4,4,other ,teacher ,Yes ,Yes ,50000,2,4.95,4.61
F,22,R,LE3,T ,3,3,health ,teacher ,Yes ,No ,50000,1,4.2,4.18
F,20,U,LE3,T ,3,2,at_home ,health ,No ,No ,600000,3,4.86,4.27
M,20,U,GT3,T ,2,3,services ,services ,Yes ,No ,500000,2,4.78,3.95
M,22,R,LE3,T ,3,4,teacher ,health ,Yes ,Yes ,800000,2,4.81,4.67
F,23,U,LE3,T ,3,4,at_home ,other ,No ,No ,100000,1,4.76,4.33
M,23,U,GT3,T ,3,2,at_home ,teacher ,No ,No ,450000,3,4.82,3.99
M,23,U,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,550000,1,4.64,3.94
F,21,R,GT3,T ,4,2,other ,other ,Yes ,No ,450000,1,4.16,4
F,24,U,GT3,T ,2,3,at_home ,services ,Yes ,No ,450000,2,3.98,4.74
F,22,U,LE3,T ,4,2,at_home ,teacher ,Yes ,No ,700000,2,4.36,4.12
F,22,U,LE3,T ,2,4,other ,other ,No ,Yes ,50000,1,4.54,4.33
M,21,U,GT3,T ,2,2,at_home ,health ,Yes ,Yes ,250000,1,4.76,4.69
F,24,R,GT3,T ,2,2,health ,teacher ,Yes ,No ,550000,1,4.67,4.5
M,23,R,GT3,T ,3,3,at_home ,health ,Yes ,No ,250000,4,3.99,4.69
M,21,U,GT3,T ,4,4,health ,services ,Yes ,No ,200000,1,4.28,4.82
F,23,R,GT3,T ,4,2,other ,teacher ,No ,Yes ,300000,1,4.4,4.43
F,24,R,GT3,T ,2,2,at_home ,teacher ,Yes ,Yes ,50000,1,4.91,4.36
F,23,U,GT3,T ,2,2,at_home ,other ,Yes ,No ,100000,2,4.86,4.24
F,20,R,GT3,T ,2,2,teacher ,services ,Yes ,Yes ,700000,1,4.65,4.79
M,20,R,GT3,T ,2,2,at_home ,teacher ,No ,No ,250000,1,3.94,4.11
F,20,U,GT3,T ,4,3,at_home ,services ,No ,No ,300000,2,4.14,4.78
F,20,R,GT3,T ,2,3,health ,other ,No ,No ,400000,3,4.77,4.3
M,22,R,GT3,A ,2,3,other ,other ,Yes ,No ,850000,1,4.13,4.74
